Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,13932123,14373707,14816307,15258093,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781,..
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,3.14680149143287,3.12034537509581,3.03277637197036,2.93816522811728,3.0171707485343,3.00083639274971,2.9733794200807,2.96196306547686,2.92508251378454,2.85291595529266,2.69713675384815,2.52989803984158,2.43522959287393,2.37649218888363,2.30907147387783,2.26973666268599,2.24597728439097,..
Burkina Faso,BFA,Surface area (sq. km),AG.SRF.TOTL.K2,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274220,274200,274200,274200,274200,274200,..,..
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,50.9215021929825,52.5354788011696,54.1531688596491,55.7678837719298,62.764206871345,64.6762024853801,66.6281469298246,68.6311659356725,70.6683333333333,72.713475877193,74.7013450292398,76.6153216374269,78.5039839181287,80.3919700292398,82.2698757309942,84.1585380116959,..,..
Burkina Faso,BFA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,41.4,..,..,43.2,..,..,..,..
Burkina Faso,BFA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,58.7,..,..,..,47.7,..,..,42.1,..,..,..,..
Burkina Faso,BFA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,6137861202.43977,6734050963.72544,7275158296.36519,8431017728.0989,12119235602.2805,13218406478.005,13374188290.8385,12719827561.6676,12626356083.9431,12947522457.5114,14844368558.9627,15845913551.9048,16526198306.9685,18130346385.6755,18839306766.5742,19274568555.6897,20101882252.2335,..
Burkina Faso,BFA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,440,470,490,550,710,750,730,680,650,650,730,760,770,820,840,840,850,..
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,16155057439.0789,17830162366.2589,19064105718.6184,20539035607.2958,26309756409.365,28285423291.7266,28969717707.3022,30316565398.2552,34762910787.0786,39106923342.4676,41036118953.7406,44836186157.428,48897495485.9268,51487330286.7921,55682079432.0698,59995495545.8472,64123738566.5658,..
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1160,1240,1290,1350,1530,1600,1590,1610,1800,1970,2010,2140,2280,2340,2470,2610,2720,..
Burkina Faso,BFA,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,8.3,..,..,..,6.3,..,..,7.3,..,..,..,..
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.271,53.784,54.377,55.199,57.457,57.903,58.331,58.778,59.173,59.578,59.972,60.184,60.454,60.046,60.7,61.092,..,..
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.182,6.17,6.11,6.05,5.793,5.697,5.595,5.478,5.331,5.17,4.921,4.681,4.44,4.361,4.275,4.186,..,..
Burkina Faso,BFA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,121.768,126.898,128.051,129.288,127.183,127.463,122.206,119.405,114.519,109.182,104.185,96.659,91.464,90.079,88.56,87.082,..,..
Burkina Faso,BFA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,17.47090032,..,..,..,..,18.4027244222173,21.2255711763823,25.3518966327923,25.7148818498789,..,32.5079672864091,29.6316269868584,33.8,33.9627403568433,..,..,..
Burkina Faso,BFA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,53.5,..,..,..,..,..,79.8,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,152.3,145.7,139,132.7,112.6,108.6,104.7,101.1,97.7,94.3,91.2,88.2,85.3,82.5,79.9,77.3,..,..
Burkina Faso,BFA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,24.3,20.9,20,22.8,18.9,16.2,17.7,16.4,12.7,16.9,..,..,..,..
Burkina Faso,BFA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84,88,94,94,87,82,88,88,88,88,88,88,88,88,88,88,88,..
