Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Rwanda,RWA,"Population, total",SP.POP.TOTL,8213931,8287094,8400180,8586875,8816844,9054528,9299246,9549933,9804269,10829901,11093340,11364757,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567,..
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,0.806991709703052,0.886774966312804,1.35537693210796,2.19817405049677,2.6429108159401,2.66009812240039,2.66683575241351,2.66008171576066,2.62837643087324,2.39380128171382,2.40340085493768,2.41721473954366,2.39322566941773,2.36997866838859,2.34556709244995,2.31630729613291,2.28086099658628,2.24244883430144,2.1909353521865,2.19046619232976,2.1984982050137,2.14176839550509,..
Rwanda,RWA,Surface area (sq. km),AG.SRF.TOTL.K2,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26338,..,..
Rwanda,RWA,Population density (people per sq. km of land area),EN.POP.DNST,332.952209160924,335.917875962708,340.501824077827,348.069517632752,357.391325496555,367.025861370085,376.945520875557,387.107134171058,397.416659910823,438.990717470612,449.669233887313,460.671139035266,471.829023104986,483.144831779489,494.611268747467,506.201702472639,517.880137819214,529.624523713012,541.35630320227,553.345358735306,565.645358735306,..,..
Rwanda,RWA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,39.1,..,..,38.2,..,..,..,..,..,..,27.4,..,..
Rwanda,RWA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,82.3,..,..,..,..,74.2,..,..,..,..,65.2,..,..,63.8,..,..,..,..,..,..,38.6,..,..
Rwanda,RWA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2189360562.44179,2190205083.67362,2174833857.53469,2143751089.54007,2377984513.54376,2830532002.63055,3228333642.87241,3788110054.75765,4649481931.58521,7431788069.81341,7837464297.06312,8178882300.20384,8555457932.33271,8655609787.83402,8796938553.70472,9589999235.7079,10439961524.5394,10011918345.1028,11252796488.1768,12779808953.6617,13938636237.525,14790509313.4318,..
Rwanda,RWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,270,260,260,250,270,310,350,400,470,690,710,720,740,730,720,770,820,770,840,940,1000,1040,..
Rwanda,RWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4967326369.22186,5487834016.47797,6319469102.16096,6555595967.72408,7234669903.70799,8201203741.29249,9237866328.50995,10260203960.5849,11591084780.1138,15541031573.0347,16493100247.9963,18628231093.605,20334012226.0115,21636033367.5603,23256618421.7879,25585518828.5755,28841853147.0782,29159514342.8138,35760738775.7193,41411102544.3883,46510230754.1554,51601722849.499,..
Rwanda,RWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,600,660,750,760,820,910,990,1070,1180,1440,1490,1640,1750,1820,1910,2050,2260,2230,2680,3030,3330,3620,..
