Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Malawi,MWI,"Population, total",SP.POP.TOTL,12840031,13198701,13576343,13976417,14395788,14826463,15265022,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286,..
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.67801100189358,2.75507030698051,2.82103771276785,2.90426164632368,2.95642545456471,2.94779608735928,2.91504427220952,2.87064589887138,2.83808966369485,2.80479012384928,2.75359183453625,2.72595787740448,2.70808949087835,2.67117568591664,2.65059567621331,2.63573735113183,2.59415828794597,2.567947782963,2.57135708610945,2.57641467045761,..
Malawi,MWI,Surface area (sq. km),AG.SRF.TOTL.K2,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,..,..
Malawi,MWI,Population density (people per sq. km of land area),EN.POP.DNST,136.19040093339,139.994707254985,144.000243954179,148.243710224862,152.691854051761,157.259896054306,161.911561306746,166.626824352991,171.423589308443,176.299724225711,181.221754348748,186.229730589733,191.341907085278,196.521860415783,201.800509121765,207.190156979211,212.635320322444,218.166397963513,223.84898175647,..,..
Malawi,MWI,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,50.7,..,..,..,..,..,51.5,..,..,50.7,..,..,..,..,..,..
Malawi,MWI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,72.9,..,..,..,..,..,71.7,..,..,75.4,..,..,..,..,..,..
Malawi,MWI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,5517057379.93127,5838233521.99,6493715434.09384,7410933322.90789,8460119750.02868,9569414776.85564,10793217125.151,10288206804.3523,9492017172.45204,8842541536.01452,8650763173.99395,8632391151.58564,8608398367.85295,9050489009.45867,10365477596.9458,10953967660.2675,12101980462.6341,12617555248.3539,13026158561.2138,12317768635.3942,..
Malawi,MWI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,430,440,480,530,590,650,710,650,590,530,510,490,480,490,540,560,600,610,620,570,..
Malawi,MWI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13647839479.9369,14744687735.5061,16652352814.4977,18276421731.5941,19853474148.9389,21382494189.7885,22915931818.6233,22646322341.3545,24682055095.2965,24567360225.6285,23401060114.5872,24683438880.3585,24319524417.2363,24447114084.0444,26922512817.6802,28736972626.2164,32815116977.098,35475438504.6761,38053555718.6122,39545826216.901,..
Malawi,MWI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1060,1120,1230,1310,1380,1440,1500,1440,1530,1480,1370,1410,1350,1320,1420,1470,1640,1720,1800,1830,..
